,face-C,face-G,finger-left,finger-right,SIMPLE_SUM:
0,0.9090909090909091,0.8781431334622823,0.8820116054158608,0.941972920696325,1.0
1,0.9245647969052224,0.9013539651837524,0.8936170212765957,0.9516441005802708,1.0
2,0.9323017408123792,0.9226305609284333,0.8994197292069632,0.9593810444874274,1.0
3,0.9381044487427466,0.9284332688588007,0.9052224371373307,0.9593810444874274,1.0
4,0.9400386847195358,0.9439071566731141,0.9110251450676983,0.965183752417795,1.0
5,0.9439071566731141,0.9516441005802708,0.9168278529980658,0.965183752417795,1.0
6,0.9477756286266924,0.9555125725338491,0.9206963249516441,0.965183752417795,1.0
7,0.9516441005802708,0.9593810444874274,0.9264990328820116,0.965183752417795,1.0
8,0.9574468085106383,0.9593810444874274,0.9284332688588007,0.965183752417795,1.0
9,0.9613152804642167,0.9632495164410058,0.9323017408123792,0.965183752417795,1.0
10,0.9632495164410058,0.965183752417795,0.9342359767891683,0.965183752417795,1.0
11,0.965183752417795,0.9671179883945842,0.9361702127659575,0.965183752417795,1.0
12,0.965183752417795,0.9690522243713733,0.9361702127659575,0.965183752417795,1.0
13,0.9671179883945842,0.9690522243713733,0.9381044487427466,0.965183752417795,1.0
14,0.9671179883945842,0.9690522243713733,0.9381044487427466,0.9690522243713733,1.0
15,0.9671179883945842,0.9709864603481625,0.9381044487427466,0.9690522243713733,1.0
16,0.9671179883945842,0.9729206963249516,0.9400386847195358,0.9729206963249516,1.0
17,0.9671179883945842,0.9748549323017408,0.941972920696325,0.9748549323017408,1.0
18,0.9671179883945842,0.9748549323017408,0.941972920696325,0.9748549323017408,1.0
19,0.9671179883945842,0.9748549323017408,0.941972920696325,0.97678916827853,1.0
